intervention,cost_effectiveness,stdev,source
Pre-diabetes screen plus exercise to prevent or slow the onset of diabetes,0.038461538461538464,0.12099317646802799,GHCEA
Pre-diabetes screen plus diet to prevent or slow the onset of diabetes,0.030303030303030304,0.06388439717511878,GHCEA
Risperidone (5 mg/day),0.058823529411764705,665.4624705741538,GHCEA
Low dose diuretics to prevent cardiovascular disease,0.10416666666666667,0.3442047261590451,GHCEA
Cognitive dissonance – school based bulimia and anorexia preventative intervention,0.00909090909090909,0.08441027490264522,GHCEA
Cognitive behavioral therapy with public psychiatrist,0.038461538461538464,0.12285460995215149,GHCEA
"Optimal treatment with antipsychotic medication (haloperidol or other typical antipsychotic, atypical antipsychotic, clozapine) and psychosocial intervention based on severity groups",0.01,0.05480666039978207,GHCEA
Serotonin and noradrenaline reuptake inhibitors - venlafaxine,0.052631578947368425,0.33273123528707693,GHCEA
Cognitive behavioral therapy individual sessions plus two parent/family sessions + general practitioner (GP) visit for diagnosis and referral,0.04347826086956522,0.14009736222613767,GHCEA
Cognitive behavioral therapy-public psychologist,0.052631578947368425,0.2661849882296615,GHCEA
Pre-diabetes screen plus Metformin to prevent or slow the onset of diabetes,0.052631578947368425,0.420292086678413,GHCEA
Selective serotonin reuptake inhibitors as first-line treatment,0.052631578947368425,0.1996387411722462,GHCEA
Behavioral intervention in families,0.18518518518518517,0.5703964033492748,GHCEA
Cognitive behavioral therapy-private psychologist,0.058823529411764705,0.3802642688995166,GHCEA
General practitioner referral to exercise physiologist,0.015384615384615384,0.07066858094592784,GHCEA
Brief alcohol intervention,0.16949152542372883,1.5971099293779696,GHCEA
Cognitive behavioral therapy-private psychiatrist,0.04545454545454545,0.27536378092723607,GHCEA
Cognitive behavioral therapy with public psychologist,0.13513513513513514,0.39729102720845005,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.6129032258064515,15.936040005767003,GHCEA
Policy intervention to reduce sodium consumption by 10%,2.1739130434782608,23.029703379639066,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.12987012987012986,1.1889256108200186,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.2127659574468085,2.1942784101410306,GHCEA
Community health workerss received training to implement the community case management of severe acute malnutrition,34.48275862068965,798.5549646889847,GHCEA
Neonatal care package- 2 antenatal home visits by community health workers followed by 3 postnatal home visits,8.333333333333334,39.640355655943644,GHCEA
Policy intervention to reduce sodium consumption by 10%,5.263157894736842,49.10256193131555,GHCEA
"Community-based interventions for maternal and newborn health (e.g. pregnancy surveillance, birth preparedness, essential newborn care training, referral and/or home treatment for sepsis)",8.333333333333334,39.640355655943644,GHCEA
Inpatient treatment for severe acute malnutrition,4.166666666666667,23.281485850990805,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.19607843137254902,1.957607212836177,GHCEA
Policy intervention to reduce sodium consumption by 10%,7.6923076923076925,240.0946977417272,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.2820512820512822,13.110838718870832,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.1282051282051282,1.1670241758161075,GHCEA
Antivenom for snakebite,11.627906976744185,39.20635136925494,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.492537313432836,10.10829069226563,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),6.25,29.576109803295726,GHCEA
Policy intervention to reduce sodium consumption by 10%,6.666666666666667,60.38222795379846,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.4492753623188406,13.770563281410325,GHCEA
Policy intervention to reduce sodium consumption by 10%,3.8461538461538463,36.6410463746437,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.5384615384615385,15.490881953229577,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.1111111111111112,8.901515602374147,GHCEA
Xpert MTB/RIF automated DNA test to detect tuberculosis and rifampicin (RIF) resistance,0.7142857142857143,5.291948076136413,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,19.230769230769234,8.775329282296536,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),0.10869565217391305,0.420292086678413,GHCEA
Cochlear implant,0.02380952380952381,0.22221587396732653,GHCEA
"Tuberculosis culture using the solid media, 24 patients/week",2.0,8.468239286203442,GHCEA
Rotarix vaccine,0.5,0.8726003490401396,GHCEA
"Tuberculosis culture using the solid media, 8 patients/week",0.8333333333333334,3.674896294012815,GHCEA
Policy intervention to reduce sodium consumption by 10%,8.333333333333334,85.34305489889759,GHCEA
Tuberculin skin test (TST) followed by isoniazid preventive therapy (IPT) for positive TST (no evidence of active tuberculosis),0.3448275862068965,5.889048412160653,GHCEA
Visit the health center three times weekly during the first 2 months (of tuberculosis treatment) of intensive treatment and twice weekly thereafter for supervised medication intake,9.09090909090909,307.1365248803788,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.0909090909090909,0.9036074649574758,GHCEA
Policy intervention to reduce sodium consumption by 10%,5.555555555555555,56.29970140221268,GHCEA
Antivenom for snakebite,10.0,23.695289893148118,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),3.4482758620689653,26.618498822966156,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,50.0,52.523421864042035,GHCEA
Policy intervention to reduce sodium consumption by 10%,10.0,87.75329282296535,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.3888888888888888,9.8223242889174,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,142.85714285714286,565.3991883011585,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.2987012987012987,8.266614541293837,GHCEA
Policy intervention to reduce sodium consumption by 10%,5.0,27.275846729138394,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),2.7777777777777777,21.81844165816898,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,71.42857142857143,139.30124929158976,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.625,5.800795890609566,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),1.6129032258064515,4.300242136181932,GHCEA
Policy intervention to reduce sodium consumption by 10%,18.867924528301884,199.88860192465197,GHCEA
Antivenom for snakebite,11.11111111111111,39.53633848346295,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,43.47826086956522,118.66402717431721,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.36986301369863,9.307167420617537,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),5.263157894736842,11.294978284144054,GHCEA
Policy intervention to reduce sodium consumption by 10%,4.166666666666667,32.726321244579516,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.9230769230769231,19.264105485465098,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.2345679012345678,8.853159253758145,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),4.0,19.01321344497583,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,125.0,686.5561572228353,GHCEA
Policy intervention to reduce sodium consumption by 10%,10.526315789473683,100.59901293638003,GHCEA
Policy intervention to reduce sodium consumption by 10%,5.88235294117647,51.4168414583082,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),3.225806451612903,19.864551360422503,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,200.0,961.1786201119693,GHCEA
Antivenom for snakebite,7.142857142857142,12.221158897630692,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.2658227848101267,9.033427202364082,GHCEA
Fortification of wheat flour with folic acid to prevent spina bifida,8.333333333333334,362.97952940408396,GHCEA
Rotarix vaccine,0.07142857142857144,1.325622451342936,GHCEA
Policy intervention to reduce sodium consumption by 10%,2.5,23.544386729043982,GHCEA
Human papilloma virus (HPV) vaccine; 70% coverage,0.00625,0.06341462165787723,GHCEA
Pap smear screening every 5 years,0.03125,0.793003937129081,GHCEA
Hybrid Benefit-based tailored treatment and Treat-to-target strategy to reduce cardiovascular disease,2.2222222222222223,101.21102214055571,GHCEA
Universal hearing screening using otoacoustic emission (OAE),0.03125,0.29576109803295725,GHCEA
Targeted hearing screening using otoacoustic emission (OAE) and automated auditory brainstem response (AABR),0.04545454545454545,0.5703964033492748,GHCEA
Policy intervention to reduce sodium consumption by 10%,8.333333333333334,99.16241955656088,GHCEA
Clinical assessment,0.1282051282051282,1.2711795044396446,GHCEA
Benefit-based tailored treatment,0.13513513513513514,172.10236307952258,GHCEA
"Comprehensive programme included screening of all patients with sputum-smear-positive pulmonary tuberculosis, rapid diagnosis, standardized care and financial protection against catastrophic health expenditure",16.666666666666668,6.599627807346981,GHCEA
Target-to-treat,0.0909090909090909,49.538149174254634,GHCEA
Universal hearing screening using otoacoustic emission (OAE) and automated auditory brainstem response (AABR),0.024390243902439025,0.18571045690441504,GHCEA
Pulse oximetry + clinical assessment,0.01694915254237288,0.4573101389812076,GHCEA
Colonoscopy screening every 10 years,0.012987012987012988,0.96420546328059,GHCEA
Hybrid Benefit-based tailored treatment and Treat-to-target intensive strategy to reduce cardiovascular disease,2.2222222222222223,33.14881547069259,GHCEA
Treat-to-target Intensive strategy to reduce cardiovascular disease,2.2222222222222223,108.79495431730034,GHCEA
Benefit-based tailored treatment Intensive Strategy to reduce cardiovascular disease,3.571428571428571,71.29955041865934,GHCEA
Benefit-based tailored treatment to reduce incidence of cardiovascular disease,3.4482758620689653,111.21935441350762,GHCEA
Health X project for national tuberculosis control,6.25,43.876646411482675,GHCEA
Targeted hearing screening using otoacoustic emission (OAE),0.06666666666666667,0.8872832940988719,GHCEA
Treat-to-target strategy to reduce incidence of cardiovascular disease,2.2222222222222223,88.33572618240981,GHCEA
Pentavalent antimony,0.05,0.8581076345250211,GHCEA
Cochlear implant,0.01,0.3641381507929706,GHCEA
Policy intervention to reduce sodium consumption by 10%,6.25,69.52420030375977,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,142.85714285714286,686.5561572228353,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.35714285714285715,2.077676504979796,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),1.0101010101010102,0.6694232246533528,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.2658227848101267,8.804354627221441,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,142.85714285714286,686.5561572228353,GHCEA
Policy intervention to reduce sodium consumption by 10%,3.571428571428571,26.085485404533518,GHCEA
Policy intervention to reduce sodium consumption by 10%,12.195121951219512,100.7513202988878,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),6.25,41.375904906165005,GHCEA
Long-lasting insecticide-treated bed nets (ITNs) + information on correct use and malaria transmission,45.45454545454545,9.701797651427343,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),5.555555555555555,13.887912429373648,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.2820512820512822,12.115839245774307,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,38.46153846153847,961.1786201119693,GHCEA
Policy intervention to reduce sodium consumption by 10%,11.363636363636363,97.65867245799005,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),3.3333333333333335,10.864693397129043,GHCEA
Antivenom for snakebite,7.6923076923076925,19.45607067266798,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.3333333333333333,9.495302790594346,GHCEA
Policy intervention to reduce sodium consumption by 10%,3.7037037037037037,35.775949316293385,GHCEA
Policy intervention to reduce sodium consumption by 10%,4.3478260869565215,39.73898804125328,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.3225806451612903,3.334425794565843,GHCEA
Policy intervention to reduce sodium consumption by 10%,4.166666666666667,43.667904231912544,GHCEA
Increased minimum legal drinking age to reduce alcohol consumption,0.11111111111111112,5.7866301789056855,GHCEA
Longer individual intervention by telephone for alcohol misuse/abuse,0.01,0.313466129416677,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.1111111111111112,11.160484188967251,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,66.66666666666667,961.1786201119693,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.0,7.758761061074635,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.06666666666666667,0.5999062187542377,GHCEA
Rotarix vaccine,1.6666666666666667,2.336448598130841,GHCEA
Policy intervention to reduce sodium consumption by 10%,4.761904761904763,41.04203960985685,GHCEA
"Enhanced regulatory system was established based on governmental policies requiring condom use between sex workers and clients, for which violations could result in fines and closures of sex establishments",1.7543859649122808,6.860437840970659,GHCEA
Cochlear implant,0.005555555555555556,0.33337019482716235,GHCEA
Tension-free inguinal hernia repair surgery with mosquito net meesh,9.09090909090909,636.8061919369894,GHCEA
Policy intervention to reduce sodium consumption by 10%,3.125,27.575363952104173,GHCEA
Policy intervention to reduce sodium consumption by 10%,17.543859649122805,170.55851445727993,GHCEA
Policy intervention to reduce sodium consumption by 10%,2.2727272727272725,20.30344930688222,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,250.0,1373.1123144456706,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),6.666666666666667,35.491331763954875,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.19607843137254902,1.4621371269179222,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),0.07692307692307693,65.45532497450695,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.6666666666666667,10.264202630963812,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,90.9090909090909,152.5680349384078,GHCEA
Policy intervention to reduce sodium consumption by 10%,4.545454545454545,36.60074088775252,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.625,6.418684559154615,GHCEA
Multidrug-resistant treatment as per WHO guidelines,1.2987012987012987,13.199255614693962,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,111.1111111111111,331.440903486886,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),0.08333333333333333,72.59590588081679,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.492537313432836,9.774234573916582,GHCEA
Policy intervention to reduce sodium consumption by 10%,8.333333333333334,66.66847259049798,GHCEA
Policy intervention to reduce sodium consumption by 10%,2.2727272727272725,18.800145133463243,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.4705882352941175,15.364508498268071,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.9230769230769231,19.68387105151679,GHCEA
