guidance_topic,comparator,median,range,num_estimates
Smoking cessation—general population: drop-in/rolling community based, Background quit rate,91,NA,1.0
Smoking cessation—general population: pharmacist based, Usual care,546,438–655,2.0
Smoking cessation —general population: dentist based, Usual care,302,269–360,3.0
Smoking cessation—general population: dentist based, Usual care (query contamination),Dominated,NA,1.0
Smoking cessation—disadvantaged groups: client-centred social marketing, No intervention,1564,420–6412,3.0
Smoking cessation—disadvantaged groups: workplace, No intervention,1399,NA,1.0
Smoking cessation—disadvantaged groups: BA pregnant women, Usual care,1593,NA,1.0
Smoking cessation—disadvantaged groups: proactive telephone support pregnant women, Intervention but no offer of telephone support,5992,NA,1.0
Smoking cessation—disadvantaged groups: incentive NRT prescription, No intervention,1627,NA,1.0
Smoking cessation—disadvantaged groups: recruitment at paediatric unit, Usual care,1837,NA,1.0
Smoking cessation—disadvantaged groups: NHS SSS, No intervention,2686,2535–2837,2.0
Smoking cessation—disadvantaged groups: pharmacist based, No intervention,3151,1030–5272,2.0
Statins—general population: pharmacist based, Usual care or no intervention,4892,1648–8234,4.0
Statins—disadvantaged groups: culturally sensitive screening, No intervention,4260,NA,1.0
Statins—disadvantaged groups: invitation for screening by GP, Usual care or no intervention,4346,4000–4692,2.0
Tri-weekly walking programme after 6 months, Information and education,7400,NA,1.0
Advice about PA, Usual care,35900,26200–45600,2.0
Advice about PA, Nutrition advice,Dominated,NA,1.0
Walking buses, No intervention,4007,NA,1.0
Dance class programme, No intervention,27570,NA,1.0
Free swimming, No intervention,40462,NA,1.0
Community sports, No intervention,71456,NA,1.0
WI, Usual care for musculoskeletal disorders,Dominates,NA,1.0
PA and education, Usual care for musculoskeletal disorders,2758,NA,1.0
PA and education and workplace visit, Usual care for musculoskeletal disorders,Dominates,NA,1.0
Internet-based expert system + peer initiative to reduce bullying and victimization, No intervention,9600,NA,1.0
Individual stress management, No intervention,4998,3470–15031,3.0
Curricular, No intervention or standard education,7200,2030–12700,4.0
Screening and BA at GP registration, No intervention,6500,NA,1.0
Screening and BA at GP registration, No intervention,Dominates,NA,7.0
Screening and BA during GP consultation, No intervention,3300,0–6600,3.0
Screening and BA during GP consultation, No intervention,Dominates,NA,2.0
Screening and BA during A and E consultation, No intervention,10400,NA,1.0
North Karelia Project, No intervention,7000,NA,1.0
Cognitive behaviour strategies, No intervention (aggregate of controls),4005,NA,1.0
Stages of change, No intervention (aggregate of controls),3033,NA,1.0
Feedback, No intervention (aggregate of controls),1992,NA,1.0
Rewards, No intervention (aggregate of controls),Dominates,NA,1.0
Pharmacotherapies, No intervention (aggregate of controls),2253,NA,1.0
Other, No intervention (aggregate of controls),Dominates,NA,1.0
