ArticleID,RatioID,PubMedID,Title,Affiliation,PubYear,PrimAuthLastName,PrimAuthFirstName,PrimAuthFMInitials,DisplayRatio,ComparatorID,InterventionPhrase,ComparatorPhrase,CI_ICER,CI_ICERText,RatioUncertainty,IncrementalAnalysisCorrect,IncrementalAnalysisRecalculated,Rating,RatingUncertainty,Country,SuperRegion_SubSaharanAfrica,SuperRegion_SoutheastAsiaOceania,SuperRegion_SouthAsia,SuperRegion_NorthAfricaMidEast,SuperRegion_HighIncome,SuperRegion_EuropeCentralAsia,SuperRegion_LatinAmerica,SuperRegion_NA,SuperRegion_Multiple,WBIncome_High,WBIncome_UpperMiddle,WBIncome_LowerMiddle,WBIncome_Low
2017-01-02871,2017-01-02871-02,28400955,Cost-effectiveness analysis of revised WHO guidelines for management of childhood pneumonia in 74 Countdown countries.,"Usher Institute of Population Health Sciences and Informatics, University ofEdinburgh, Edinburgh, UK; Department of Preventive Dentistry, Peking UniversitySchool and Hospital of Stomatology, Beijing, China.",2017,Zhang,Shanshan,,32,3,Childhood pneumonia management according to 2013 World Health Organization Guidelines,None,0.0,,,1,0,5.5,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-01-01317,2011-01-01317-43,21679420,Comparative evaluation of the potential impact of rotavirus versus HPV vaccination in GAVI-eligible countries: a preliminary analysis focused on the relative disease burden.,"Center for Health Decision Science, Harvard School of Public Health, Boston, MA, USA.",2011,Kim,Sun-Young,SY,19,3,Rotavirus vaccine,None,0.0,,,1,0,6.5,0,Zimbabwe,1,1,1,1,0,1,1,0,1,0,1,1,1
2007-01-00171,2007-01-00171-01,17263879,"Treating cutaneous leishmaniasis patients in Kabul, Afghanistan: cost-effectiveness of an operational program in a complex emergency setting.","Clinical Trials Area, Westat, Rockville, USA. rreithinger@yahoo.co.uk",2007,Reithinger,Richard,R,1600,3,Intralesional and intramuscular administration of the pentavalent antimonial drug sodium stibogluconate,None,1.0,95% CI 760.6-1826.9,"Lesion duration, drug compliance, drug efficacy, program costs, and drug prices",1,0,4.5,0,Afghanistan,0,0,0,1,0,0,0,0,0,0,0,0,1
2008-01-01740,2008-01-01740-02,18945411,Mathematical models of cervical cancer prevention in the Asia Pacific region.,"Program in Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, Boston, MA, USA. sue_goldie@harvard.edu",2008,Goldie,Sue J,SJ,680,3,Human papilloma virus 16/18 vaccination,None,0.0,,,0,0,6.0,0,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-01-02961,2017-01-02961-01,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,38,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,$26.83 - $59.81,,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-01-02961,2017-01-02961-02,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,340,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,$245.73 - $519.06,,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-01-02189,2014-01-02189-02,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,5900,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2015-01-01957,2015-01-01957-01,25919162,Cost-effectiveness of rotavirus vaccination in Albania.,"Institute of Public Health, Tirana, Albania. Electronic address:albiahmeti@yahoo.com.",2015,Ahmeti,Albana,,560,3,Rotavirus vaccination with monovalent (RV1) vaccine at 2 & 4 months,None,0.0,,,1,0,5.5,0,Albania,0,0,0,0,0,1,0,0,0,0,1,0,0
2015-01-01957,2015-01-01957-02,25919162,Cost-effectiveness of rotavirus vaccination in Albania.,"Institute of Public Health, Tirana, Albania. Electronic address:albiahmeti@yahoo.com.",2015,Ahmeti,Albana,,3900,3,"Rotavirus vaccination with monovalent (RV5) vaccine at 2, 4 & 6 months",None,0.0,,,1,0,5.5,0,Albania,0,0,0,0,0,1,0,0,0,0,1,0,0
2017-01-02961,2017-01-02961-03,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,97,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,$68.75 - $149.95,,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-01-01121,2012-01-01121-02,22558089,Obstructed labor and caesarean delivery: the cost and benefit of surgical intervention.,"Department of Otology and Laryngology, Harvard Medical School, Boston, Massachusetts, United States of America.",2012,Alkire,Blake C,BC,420,2,Cesarean Delivery following obstructed labor,Standard/Usual Care,0.0,,,1,0,4.0,1,Zambia,1,1,1,1,0,1,1,0,1,1,1,1,1
2014-01-02222,2014-01-02222-54,24969782,Scaling up integrated prevention campaigns for global health: costs and cost-effectiveness in 70 countries.,"Health Strategies International, Oakland, California, USA.",2014,Marseille,Elliot,E,1300,3,"Integrated prevention campaign (IPC) against diarrhea (household water filters), malaria (bed-nets) and HIV (counseling, testing, cotrimoxazole prophylaxis, referral to treatment & condom distribution)",None,0.0,,,1,0,5.0,0,Zimbabwe,1,1,1,1,1,1,1,0,1,0,1,1,1
2014-01-02189,2014-01-02189-03,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,4200,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2017-01-02961,2017-01-02961-04,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,28000,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,"$19,847.69 - $43,026.24",,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-01-02222,2014-01-02222-24,24969782,Scaling up integrated prevention campaigns for global health: costs and cost-effectiveness in 70 countries.,"Health Strategies International, Oakland, California, USA.",2014,Marseille,Elliot,E,120,3,"Integrated prevention campaign (IPC) against diarrhea (household water filters), malaria (bed-nets) and HIV (counseling, testing, cotrimoxazole prophylaxis, referral to treatment & condom distribution)",None,0.0,,,1,0,5.0,0,Zimbabwe,1,1,1,1,1,1,1,0,1,0,1,1,1
2009-01-01512,2009-01-01512-39,20496620,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries.","HarvestPlus, International Food Policy Research Institute, 2033 K Street NW, Washington DC 20006, USA. J.Fielder@cgiar.org",2009,Fiedler,John L,JL,7200,3,"Maize fortification (""reduced package"", consists of iron, folic acid, and vitamin B12)",None,0.0,,,0,0,3.0,1,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-01-01517,2010-01-01517-01,20470426,Health and economic impact of rotavirus vaccination in GAVI-eligible countries.,"Center for Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, Boston, MA, USA. sykim@hsph.harvard.edu",2010,Kim,Sun-Young,SY,33,3,Rotavirus vaccination program,None,0.0,,,1,0,6.0,0,Zimbabwe,1,1,1,1,0,1,1,0,1,0,1,1,1
2013-01-00773,2013-01-00773-01,24223524,Antenatal Syphilis screening using point-of-care testing in Sub-Saharan African countries: a cost-effectiveness analysis.,"Infectious Diseases Institute, Makerere College of Health Sciences, Kampala, Uganda ; Pfizer, New York, New York, United States of America.",2013,Kuznik,Andreas,A,5,3,Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,None,1.0, $5/DALY averted ($3-$13),"ICS Specificity 91% ICER=$6, Nurses Wages Increased 25% ICER= $5, Penicillin Efficacy in Reducing Neonatal Deat, RR=0.82 ICER= $6, Penicillin Efficacy in Reducing congential syphilis RR=0.57, ICER= $5.",1,0,6.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01512,2009-01-01512-02,20496620,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries.","HarvestPlus, International Food Policy Research Institute, 2033 K Street NW, Washington DC 20006, USA. J.Fielder@cgiar.org",2009,Fiedler,John L,JL,40,3,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12)",None,0.0,,,0,0,3.0,1,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-01-02819,2016-01-02819-01,27461265,Newborn screening and prophylactic interventions for sickle cell disease in 47 countries in sub-Saharan Africa: a cost-effectiveness analysis.,"Infectious Diseases Institute, Makerere University College of Health Sciences,Kampala, Uganda.",2016,Kuznik,Andreas,A,190,3,Sickle cell disease screening using isoelectric focusing (IEF),None,1.0,115-710,,1,0,6.0,0,Multiple Countries,1,0,0,0,0,0,0,0,0,0,1,1,1
2013-01-00835,2013-01-00835-01,23912819,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"Department of Global Health, University of Washington, , Seattle, Washington, USA.",2013,Verguet,Stéphane,S,15000,2,Pre-exposure prophylaxis (PrEP) for reducing HIV transmission,"Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",1.0,7600000 - 30800000,,1,0,4.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01317,2011-01-01317-73,21679420,Comparative evaluation of the potential impact of rotavirus versus HPV vaccination in GAVI-eligible countries: a preliminary analysis focused on the relative disease burden.,"Center for Health Decision Science, Harvard School of Public Health, Boston, MA, USA.",2011,Kim,Sun-Young,SY,69,3,Human papillomavirus (HPV) vaccine,None,0.0,,,1,0,6.5,0,Zimbabwe,1,1,1,1,0,1,1,0,1,0,1,1,1
2011-01-01317,2011-01-01317-01,21679420,Comparative evaluation of the potential impact of rotavirus versus HPV vaccination in GAVI-eligible countries: a preliminary analysis focused on the relative disease burden.,"Center for Health Decision Science, Harvard School of Public Health, Boston, MA, USA.",2011,Kim,Sun-Young,SY,Cost-Saving,3,Rotavirus vaccine,None,0.0,,,1,0,6.5,0,Zimbabwe,1,1,1,1,0,1,1,0,1,0,1,1,1
2014-01-02189,2014-01-02189-04,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,410,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2017-01-02871,2017-01-02871-03,28400955,Cost-effectiveness analysis of revised WHO guidelines for management of childhood pneumonia in 74 Countdown countries.,"Usher Institute of Population Health Sciences and Informatics, University ofEdinburgh, Edinburgh, UK; Department of Preventive Dentistry, Peking UniversitySchool and Hospital of Stomatology, Beijing, China.",2017,Zhang,Shanshan,,26,3,Childhood pneumonia management according to 2005 World Health Organization Guidelines,None,0.0,,,1,0,5.5,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-01-02961,2017-01-02961-05,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,220,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,$147.55 - $347.13,,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-00744,2013-01-00744-01,24331749,Model-based impact and cost-effectiveness of cervical cancer prevention in sub-Saharan Africa.,"Center for Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, Boston, MA, USA. Electronic address: jkim@hsph.harvard.edu.",2013,Kim,Jane J,JJ,Cost-Saving,3,HPV16/18 vaccination,None,0.0,,,0,0,5.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-02871,2017-01-02871-04,28400955,Cost-effectiveness analysis of revised WHO guidelines for management of childhood pneumonia in 74 Countdown countries.,"Usher Institute of Population Health Sciences and Informatics, University ofEdinburgh, Edinburgh, UK; Department of Preventive Dentistry, Peking UniversitySchool and Hospital of Stomatology, Beijing, China.",2017,Zhang,Shanshan,,7,3,Childhood pneumonia management according to 2013 World Health Organization Guidelines,None,0.0,,,1,0,5.5,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-01784,2008-01-01784-13,18550229,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries.","Program in Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, 718 Huntington Avenue, Boston, MA 02115, USA. sue.goldie@harvard.edu",2008,Goldie,Sue J,SJ,75,3,"HPV 16, 18 vaccination",None,0.0,,"Discount rate, per dose cost, cancer incidence, ratio deaths/caes, cancer costs, access to care",0,0,5.5,0,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2009-01-01512,2009-01-01512-52,20496620,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries.","HarvestPlus, International Food Policy Research Institute, 2033 K Street NW, Washington DC 20006, USA. J.Fielder@cgiar.org",2009,Fiedler,John L,JL,130,3,Vegetable oil fortification (consists of vitamin A),None,0.0,,,0,0,3.0,1,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-01-03715,2017-01-03715-01,29161259,"The US President's Malaria Initiative, Plasmodium falciparum transmission and mortality: A modelling study.",,2017,Winskill,Peter,,150,3,The President’s Malaria Initiative (PMI),None,1.0,"98, 253",,1,0,3.0,1,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-01-02961,2017-01-02961-06,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,17000,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,"$11,813.69 - $26,802.34",,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-01-01964,2015-01-01964-05,25919152,Cost-effectiveness analysis of rotavirus vaccination in Argentina.,"Ministerio de Salud de la Nacion, Av. 9 de Julio 1925 (C1073ABA) , CiudadAutonoma de Buenos Aires, Argentina. Electronic address: uruenaanalia@gmail.com.",2015,Uruena,Analia,,Cost-Saving,3,National vaccination program of two doses of monovalent (RV1) rotavirus vaccination,None,0.0,,,1,0,5.5,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2017-01-02961,2017-01-02961-07,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,120,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,$84.54 - $181.36,,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-01439,2010-01-01439-05,20961456,Estimation of the burden of cardiovascular disease attributable to modifiable risk factors and cost-effectiveness analysis of preventative interventions to reduce this burden in Argentina.,"Institute for Clinical Effectiveness and Health Policy IECS, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2010,Rubinstein,Adolfo,A,3800,2,Mass media campaign to promote tobacco cessation,Standard/Usual Care,1.0,3024.42 - 3337.92,,1,0,5.5,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-01-01964,2015-01-01964-06,25919152,Cost-effectiveness analysis of rotavirus vaccination in Argentina.,"Ministerio de Salud de la Nacion, Av. 9 de Julio 1925 (C1073ABA) , CiudadAutonoma de Buenos Aires, Argentina. Electronic address: uruenaanalia@gmail.com.",2015,Uruena,Analia,,690,3,National vaccination program of two doses of monovalent (RV1) rotavirus vaccination,None,0.0,,,1,0,5.5,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2009-01-01667,2009-01-01667-03,19419570,"Generalized cost-effectiveness analysis of a package of interventions to reduce cardiovascular disease in Buenos Aires, Argentina.","IECS, Institute for Clinical Effectiveness and Health Policy, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2009,Rubinstein,Adolfo,A,1500,3,"Modified polypill strategy- pharmacological therapy with thiazides 25 mg, enalapril 10 mg, atorvastatin 10 mg and aspirin 100 mg",None,0.0,,,1,0,6.0,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2009-01-01667,2009-01-01667-06,19419570,"Generalized cost-effectiveness analysis of a package of interventions to reduce cardiovascular disease in Buenos Aires, Argentina.","IECS, Institute for Clinical Effectiveness and Health Policy, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2009,Rubinstein,Adolfo,A,29000,3,Individual treatment of high cholesterol- promotion of low-cholesterol diet and statin use (atorvastine 10 mg) to achieve cholesterol target of less than 240 mg/dl,None,0.0,,,1,0,6.0,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-01-01803,2015-01-01803-01,26478625,Eliminating artificial trans fatty acids in Argentina: estimated effects on the burden of coronary heart disease and costs.,"Institute for Clinical Effectiveness and Health Policy (IECS), Ravignani 2024,Buenos Aires, C1414CPV, Argentina .",2015,Rubinstein,Adolfo,A,Cost-Saving,4,Reduction of artificial trans fatty acids in food through alternative substitution (sunflower oil),current consumption of trans fatty acid (1.5% of energy consumption),0.0,,,1,1,5.0,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2010-01-01439,2010-01-01439-02,20961456,Estimation of the burden of cardiovascular disease attributable to modifiable risk factors and cost-effectiveness analysis of preventative interventions to reduce this burden in Argentina.,"Institute for Clinical Effectiveness and Health Policy IECS, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2010,Rubinstein,Adolfo,A,Cost-Saving,2,"A pharmacological therapy with 4 pills (hydrochlorothiazide 25 mg, enalapril 10 mg, atorvastatin 10 mg and aspirin 100 mg)",Standard/Usual Care,1.0, - 307.74 -  -189.68,,1,0,5.5,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2010-01-01439,2010-01-01439-03,20961456,Estimation of the burden of cardiovascular disease attributable to modifiable risk factors and cost-effectiveness analysis of preventative interventions to reduce this burden in Argentina.,"Institute for Clinical Effectiveness and Health Policy IECS, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2010,Rubinstein,Adolfo,A,3400,2,Pharmacological therapy for high blood pressure,Standard/Usual Care,1.0,2841.81 - 2977.48,,1,0,5.5,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2010-01-01439,2010-01-01439-04,20961456,Estimation of the burden of cardiovascular disease attributable to modifiable risk factors and cost-effectiveness analysis of preventative interventions to reduce this burden in Argentina.,"Institute for Clinical Effectiveness and Health Policy IECS, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2010,Rubinstein,Adolfo,A,Cost-Saving,2,Reducing salt in bread,Standard/Usual Care,0.0,,,1,0,5.5,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2008-01-01735,2008-01-01735-27,18945403,Mathematical models of cervical cancer prevention in Latin America and the Caribbean.,"Program in Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, Boston, MA, USA. sue_goldie@harvard.edu",2008,Goldie,Sue J,SJ,Cost-Saving,2,Human papilloma virus 16/18 vaccination,Standard/Usual Care,0.0,,,0,0,6.0,0,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2009-01-01667,2009-01-01667-05,19419570,"Generalized cost-effectiveness analysis of a package of interventions to reduce cardiovascular disease in Buenos Aires, Argentina.","IECS, Institute for Clinical Effectiveness and Health Policy, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2009,Rubinstein,Adolfo,A,14000,3,Individual tobacco cessation therapy- drug therapy with bupropion,None,0.0,,,1,0,6.0,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2011-01-01331,2011-01-01331-02,21621575,Cost-effectiveness analysis of the 10- and 13-valent pneumococcal conjugate vaccines in Argentina.,"Ministerio de Salud de la Naci?n, Argentina. anauru@yahoo.com",2011,Urueña,A,A,13000,3,Pneumococcal conjugate vaccine (13-valent),None,0.0,,"Societal perspective ICER: 10,510",1,0,5.0,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2010-01-01439,2010-01-01439-06,20961456,Estimation of the burden of cardiovascular disease attributable to modifiable risk factors and cost-effectiveness analysis of preventative interventions to reduce this burden in Argentina.,"Institute for Clinical Effectiveness and Health Policy IECS, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2010,Rubinstein,Adolfo,A,17000,2,Pharmacological therapy of high cholesterol,Standard/Usual Care,1.0,14077.55 - 14809.92,,1,0,5.5,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
2014-01-02189,2014-01-02189-05,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,1100,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2015-01-01964,2015-01-01964-03,25919152,Cost-effectiveness analysis of rotavirus vaccination in Argentina.,"Ministerio de Salud de la Nacion, Av. 9 de Julio 1925 (C1073ABA) , CiudadAutonoma de Buenos Aires, Argentina. Electronic address: uruenaanalia@gmail.com.",2015,Uruena,Analia,,87,3,National vaccination program of three doses of pentavalent (RV5) rotavirus vaccine,None,0.0,,,1,0,5.5,0,Argentina,0,0,0,0,1,0,0,0,0,0,1,0,0
