ArticleID,RatioID,PubMedID,Title,Affiliation,PubYear,PrimAuthLastName,PrimAuthFirstName,PrimAuthFMInitials,DisplayRatio,CI_ICER,CI_ICERText,CI_Usable,CI_Type,CI_Lower,CI_Upper,CI_Difference,CI_Currency,CI_Notes,RatioUncertainty,ComparatorID,InterventionPhrase,ComparatorPhrase,IncrementalAnalysisCorrect,IncrementalAnalysisRecalculated,Rating,RatingUncertainty
2017-01-02961,2017-01-02961-06,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,17000,1,"$11,813.69 - $26,802.34",1,95,11813.69,26802.34,14988.65,USD,,,3,Policy intervention to reduce sodium consumption by 10%,None,1,0,5.0,0
2017-01-02961,2017-01-02961-07,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,120,1,$84.54 - $181.36,1,95,84.54,181.36,96.82,USD,,,3,Policy intervention to reduce sodium consumption by 10%,None,1,0,5.0,0
2010-01-01439,2010-01-01439-05,20961456,Estimation of the burden of cardiovascular disease attributable to modifiable risk factors and cost-effectiveness analysis of preventative interventions to reduce this burden in Argentina.,"Institute for Clinical Effectiveness and Health Policy IECS, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2010,Rubinstein,Adolfo,A,3800,1,3024.42 - 3337.92,1,95,3024.42,3337.92,313.5,USD,,,2,Mass media campaign to promote tobacco cessation,Standard/Usual Care,1,0,5.5,0
2010-01-01439,2010-01-01439-02,20961456,Estimation of the burden of cardiovascular disease attributable to modifiable risk factors and cost-effectiveness analysis of preventative interventions to reduce this burden in Argentina.,"Institute for Clinical Effectiveness and Health Policy IECS, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2010,Rubinstein,Adolfo,A,Cost-Saving,1,- 307.74 -  -189.68,1,95,-189.68,-307.74,118.06,USD,,,2,"A pharmacological therapy with 4 pills (hydrochlorothiazide 25 mg, enalapril 10 mg, atorvastatin 10 mg and aspirin 100 mg)",Standard/Usual Care,1,0,5.5,0
2010-01-01439,2010-01-01439-03,20961456,Estimation of the burden of cardiovascular disease attributable to modifiable risk factors and cost-effectiveness analysis of preventative interventions to reduce this burden in Argentina.,"Institute for Clinical Effectiveness and Health Policy IECS, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2010,Rubinstein,Adolfo,A,3400,1,2841.81 - 2977.48,1,95,2841.81,2977.48,135.67,USD,,,2,Pharmacological therapy for high blood pressure,Standard/Usual Care,1,0,5.5,0
2010-01-01439,2010-01-01439-06,20961456,Estimation of the burden of cardiovascular disease attributable to modifiable risk factors and cost-effectiveness analysis of preventative interventions to reduce this burden in Argentina.,"Institute for Clinical Effectiveness and Health Policy IECS, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2010,Rubinstein,Adolfo,A,17000,1,14077.55 - 14809.92,1,95,14077.55,14809.92,732.370000000001,USD,,,2,Pharmacological therapy of high cholesterol,Standard/Usual Care,1,0,5.5,0
2007-01-00125,2007-01-00125-01,17612464,Potential cost-effectiveness of vaccination for rotavirus gastroenteritis in eight Latin American and Caribbean countries.,"Department of Global Health, Rollins School of Public Health, Emory University, Atlanta, Georgia 30322, USA. rrheing@sph.emory.edu",2007,Rheingans,Richard D,RD,7200,1,"$5419, range $4554 to $7177",1,range,4544,7177,2633.0,USD,,"Rotavirus Mortality Rate +20%  ICER = 4560; Incidence of hospitalization for rotavirus -20% ICER = 5636, +20% ICER = 5202;  Incidence of outpatient visits for rotavirus -20% ICER = 5607, + 20% ICER= 5231;  Efficacy against rotavirus hospitalization 70% ICER = 5612, 94% 5303; Direct medical costs, hospitalization -20% ICER = 5604, +20% ICER = 5202; Direct medical costs, outpatient visits -20% ICER = 5604, +20%= 5234.",2,Rotarix vaccine,Standard/Usual Care- No universal vaccination and current use of oral rehydration therapy,1,0,6.5,0
2010-01-01439,2010-01-01439-01,20961456,Estimation of the burden of cardiovascular disease attributable to modifiable risk factors and cost-effectiveness analysis of preventative interventions to reduce this burden in Argentina.,"Institute for Clinical Effectiveness and Health Policy IECS, Buenos Aires, Argentina. arubinstein@iecs.org.ar",2010,Rubinstein,Adolfo,A,70000,1,57819.14-60906.25,1,95,57819.14,60906.25,3087.11,USD,,,2,Therapy with Bupropion for Tobacco Cessation,Standard/Usual Care,1,0,5.5,0
2017-01-02961,2017-01-02961-08,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,160,1,$115.38 - $235.08,1,95,115.38,235.08,119.7,USD,,,3,Policy intervention to reduce sodium consumption by 10%,None,1,0,5.0,0
2005-01-00336,2005-01-00336-01,15660705,Assessing cost-effectiveness of drug interventions for schizophrenia.,"Department of Human Services, Melbourne Vic., Australia. anne.magnus@dhs.vic.gov.au",2005,Magnus,Anne,A,40000,1,27-110,1,95,27,110,83.0,USD,,,4,Risperidone (5 mg/day),Typical neuroleptics,1,0,6.0,0
2011-01-01398,2011-01-01398-02,21224825,Cost-effectiveness of diet and exercise interventions to reduce overweight and obesity.,"The University of Queensland, School of Population Health, Herston, Queensland, Australia.",2011,Forster,M,M,15000,1,13000 (95% CI: cost-saving-130000),0,95,cost-saving,130000,,USD,"Can’t understand CI, lower bound at cost saving is unknown, unless it can be calculated from full sheet values","when using the rate regained halved based on trial data rather than on meta-regrssion: ICER=6600 (cost-saving-30000)
including patient time and travel costs, probabality that intervention is <50000 $/DALY is 43%; 
including patient time and travel costs and unrelated health care in added years of life, probability that intervention is < 50000 $/DALY is 37%",2,Diet-only intervention ('low-fat diet'),Standard/Usual Care,0,0,5.5,0
2004-01-00367,2004-01-00367-02,15298581,Cost-effectiveness of dexamphetamine and methylphenidate for the treatment of childhood attention deficit hyperactivity disorder.,"Health Surveillance and Evaluation Section, Public Health, Department of Human Services, Melbourne, Australia.",2004,Donnelly,Marie,M,12000,1,9100-22000,1,95,9100,22000,12900.0,USD,,,2,Methylphenidate,Standard/Usual Care,1,0,6.0,0
2010-01-01623,2010-01-01623-07,19758481,Cost-effectiveness of mandatory folate fortification v. other options for the prevention of neural tube defects: results from Australia and New Zealand.,"Health Economics, Division of Health Sciences, University of South Australia, Adelaide, South Australia, Australia. Kim.Dalziel@unisa.edu.au",2010,Dalziel,Kim,K,120000,1,2400-300900,1,95,2400,300900,298500.0,USD,,"One-way sensitivity analyses performed included: alternative effectiveness results (levels of increase in folic acid); reduced bioavailability of folic acid (85 %); a lower dose of folic acid supplement of 400 mg/d; higher and lower cost scenarios; the 5% and 95% confidence intervals around the translation of folic acid increases into NTD prevented; and, for the mandatory fortification interventions, the inclusion of monitoring and evaluation costs and a cost of $1 per person assigned to loss of consumer choice (see technical report for further details(9)). Sensitivity analyses also included the removal of encephalocele as an NTD potentially reduced through folic acid due to current debate(26), and increasing the disability weight assigned to encephalocele and spina bifida from 0?52 to 0?68 to reflect a more serious health state(23). Probabilistic sensitivity analysis was not conducted because of a lack of robust data on error margins to inform distributions of included parameters.",2,"Dietary folate targeted campaign, natural folate for prevention of neural tube defects",Standard/Usual Care,1,0,3.0,0
2009-01-01624,2009-01-01624-01,19747936,Economic evaluation of skin cancer prevention in Australia.,"Deakin Health Economics, Public Health Research, Evaluation and Policy Cluster, Faculty of Health, Medicine, Nursing and Behavioural Sciences, Deakin University, 221 Burwood Highway, Burwood, VIC 3125, Australia. sophy.shih@deakin.edu.au",2009,Shih,Sophy Ting-Fang,ST,14000,1,12000-22000,1,95,12000,22000,10000.0,USD,,"effectiveness on melanoma reduction, decay rate of NMSC reduction, discount rate, worst case scenario (50% of effectiveness on melanoma reduction, 20% annual decay rate of NMSC reduction and double the program cost)",4,SunSmart program (skin cancer prevention program) in a well-resourced state,SunSmart in two underinvested states,1,0,5.0,0
2010-01-01623,2010-01-01623-06,19758481,Cost-effectiveness of mandatory folate fortification v. other options for the prevention of neural tube defects: results from Australia and New Zealand.,"Health Economics, Division of Health Sciences, University of South Australia, Adelaide, South Australia, Australia. Kim.Dalziel@unisa.edu.au",2010,Dalziel,Kim,K,120000,1,95700-296600,1,95,95700,296600,200900.0,USD,,"One-way sensitivity analyses performed included: alternative effectiveness results (levels of increase in folic acid); reduced bioavailability of folic acid (85 %); a lower dose of folic acid supplement of 400 mg/d; higher and lower cost scenarios; the 5% and 95% confidence intervals around the translation of folic acid increases into NTD prevented; and, for the mandatory fortification interventions, the inclusion of monitoring and evaluation costs and a cost of $1 per person assigned to loss of consumer choice (see technical report for further details(9)). Sensitivity analyses also included the removal of encephalocele as an NTD potentially reduced through folic acid due to current debate(26), and increasing the disability weight assigned to encephalocele and spina bifida from 0?52 to 0?68 to reflect a more serious health state(23). Probabilistic sensitivity analysis was not conducted because of a lack of robust data on error margins to inform distributions of included parameters.",2,"Mandatory folic acid fortification 200ug/100 g flour, high cost for prevention of neural tube defects",Standard/Usual Care,1,0,3.0,0
2004-01-00366,2004-01-00366-03,15298582,Cost-effectiveness of psychological and pharmacological interventions for generalized anxiety disorder and panic disorder.,"Health Surveillance and Evaluation Section, Public Health, Department of Human Services, Melbourne, Australia.",2004,Heuzenroeder,Louise,L,19000,1,15000-38000,1,95,15000,38000,23000.0,USD,,,2,Cognitive behavioral therapy with private psychiatrists,Standard/Usual Care,1,0,5.5,0
2005-01-00336,2005-01-00336-03,15660705,Assessing cost-effectiveness of drug interventions for schizophrenia.,"Department of Human Services, Melbourne Vic., Australia. anne.magnus@dhs.vic.gov.au",2005,Magnus,Anne,A,66000,1,36000-dominated,0,95,36000,dominated,,USD,,,4,Risperidone (5 mg/day),Low-dose typicals (< 300 chlorpromozine equivalents),1,0,6.0,0
2010-01-01553,2010-01-01553-01,20135088,Assessing the cost-effectiveness of drug and lifestyle intervention following opportunistic screening for pre-diabetes in primary care.,"Centre for Burden of Disease and Cost-Effectiveness, School of Population Health, The University of Queensland, Herston Rd, Herston, Queensland 4006, Australia. m.bertram@sph.uq.edu.au",2010,Bertram,M Y,MY,20000,1,"19,000 - 35,000",1,95,19000,35000,16000.0,USD,,,2,Pre-diabetes screen screen plus diet and exercise to prevent or slow the onset of diabetes,Standard/Usual Care,1,0,5.0,0
2004-01-00373,2004-01-00373-03,15255823,Assessing cost-effectiveness in mental health: family interventions for schizophrenia and related conditions.,"Program Evaluation Unit, School of Population Health, University of Melbourne, Victoria 3010, Australia. c.mihalopoulos@unimelb.edu.au",2004,Mihalopoulos,Cathrine,C,15000,1,10000-53000,1,95,10000,53000,43000.0,USD,,,3,Multiple family groups:  Family engagement sessions and psychoeducation,None,1,0,5.5,0
2010-01-01601,2010-01-01601-01,19893504,The cost-effectiveness of Australia's Active After-School Communities program.,"Deakin Health Economics, Public Health Research Evaluation and Policy Cluster, Deakin University, Burwood, Victoria, Australia. marj.moodie@deakin.edu.au",2010,Moodie,Marjory L,ML,59000,1,"40,000-165,000",1,95,40000,165000,125000.0,USD,,"""The key sources of uncertainty around the ICERs were the number of children enrolled per school (r = -0.67) and grant funding per school (r = 0.399).""",3,Active After-school Communities Program (AASC)--physical activity co-ordinators develop and deliver physical activity program specific to each school,None,1,0,5.5,0
2009-01-01619,2009-01-01619-07,21265906,Cost-effectiveness of interventions to prevent alcohol-related disease and injury in Australia.,"School of Population Health, The University of Queensland, Queensland, Australia. l.cobiac@uq.edu.au",2009,Cobiac,Linda,L,100000,1,84000-170000,1,95,84000,170000,86000.0,USD,,,3,Residential treatment + naltrexone,None,1,0,5.5,0
2010-01-01490,2010-01-01490-01,20618263,Cost-effectiveness of Weight Watchers and the Lighten Up to a Healthy Lifestyle program.,"School of Population Health, The University of Queensland, Herston, QLD 4006, Australia. l.cobiac@uq.edu.au",2010,Cobiac,Linda,L,110000,1,22000-dominated,0,95,22000,dominated,,USD,,,3,"Lighten Up to a Healthy Lifestyle, aims to prevent weight gain and achieve weight loss by promoting changes in nutrition and physical activity behaviour.",None,1,0,5.5,0
2011-01-01424,2011-01-01424-02,21073354,Do indicated preventive interventions for depression represent good value for money?,"Deakin University, Melbourne, Victoria, Australia. cathy.mihalopoulos@deakin.edu.au",2011,Mihalopoulos,Cathrine,C,17000,1,12000-66000,1,95,12000,66000,54000.0,USD,,,2,Group-based psychological intervention following opportunistic screening  to prevent depression,Standard/Usual Care,1,0,6.0,0
2014-01-00767,2014-01-00767-02,24252448,Cost-effectiveness of interventions to prevent cardiovascular disease in Australia's indigenous population.,"Centre for Health Policy, Programs and Economics, School of Population Health,The University of Melbourne, Carlton, Victoria 3010, Australia. Electronicaddress: ksong@unimelb.edu.au.",2014,Ong,Katherine S,KS,27000,1,"19,000 - 57,000",1,95,19000,57000,38000.0,USD,,,3,Angiotensin-converting enzyme (ACE) inhibitors via mainstream general practitioner to prevent cardiovascular disease,None,1,0,5.0,0
2005-01-00336,2005-01-00336-06,15660705,Assessing cost-effectiveness of drug interventions for schizophrenia.,"Department of Human Services, Melbourne Vic., Australia. anne.magnus@dhs.vic.gov.au",2005,Magnus,Anne,A,130000,1,44000-dominated,0,95,44000,dominated,,USD,,,4,Olanzapine (15 mg/day),Risperidone (5 mg/day),1,0,6.0,0
2004-01-00368,2004-01-00368-06,15298580,Cost-effectiveness of cognitive behavioural therapy and selective serotonin reuptake inhibitors for major depression in children and adolescents.,"Health Surveillance and Evaluation Section, Public Health, Department of Human Services, Melbourne, Australia. michelle.haby@dhs.vic.gov.au",2004,Haby,Michelle M,MM,19000,1,13000-54000,1,95,13000,54000,41000.0,USD,,,2,Selective serotonin reuptake inhibitors as second line treatment,Standard/Usual Care,1,0,6.0,0
2010-01-01623,2010-01-01623-08,19758481,Cost-effectiveness of mandatory folate fortification v. other options for the prevention of neural tube defects: results from Australia and New Zealand.,"Health Economics, Division of Health Sciences, University of South Australia, Adelaide, South Australia, Australia. Kim.Dalziel@unisa.edu.au",2010,Dalziel,Kim,K,53000,1,5400-103200,1,95,5400,103200,97800.0,USD,,"One-way sensitivity analyses performed included: alternative effectiveness results (levels of increase in folic acid); reduced bioavailability of folic acid (85 %); a lower dose of folic acid supplement of 400 mg/d; higher and lower cost scenarios; the 5% and 95% confidence intervals around the translation of folic acid increases into NTD prevented; and, for the mandatory fortification interventions, the inclusion of monitoring and evaluation costs and a cost of $1 per person assigned to loss of consumer choice (see technical report for further details(9)). Sensitivity analyses also included the removal of encephalocele as an NTD potentially reduced through folic acid due to current debate(26), and increasing the disability weight assigned to encephalocele and spina bifida from 0?52 to 0?68 to reflect a more serious health state(23). Probabilistic sensitivity analysis was not conducted because of a lack of robust data on error margins to inform distributions of included parameters.",2,Dietary folate targeted campaign to eat all folates for prevention of neural tube defects,Standard/Usual Care,1,0,3.0,0
2004-01-00366,2004-01-00366-11,15298582,Cost-effectiveness of psychological and pharmacological interventions for generalized anxiety disorder and panic disorder.,"Health Surveillance and Evaluation Section, Public Health, Department of Human Services, Melbourne, Australia.",2004,Heuzenroeder,Louise,L,14000,1,9700-42000,1,95,9700,42000,32300.0,USD,,,2,Tricyclic antidepressants - imipramine,"Standard/Usual Care- Current practice for the treatment of GAD and PD is determined
from the NSMHW by identifying service utilization patterns for those
with the disorder who consulted health services for a mental health
problem. All prevalent cases of GAD and PD in the year 2000 are
included. Consulting is defined as seeking care for a mental health
problem during the past 12 months from a general practitioner, psychiatrist,
psychologist, physician, surgeon, social worker, mental health
team worker or an admission to hospital [4]. It is assumed that those
consulting are receiving EBM if they have had three or more consultations
with a GP, psychiatrist or psychologist plus CBT and/or drug
treatment.
Of those with GAD, 55% consulted; these were further split into
treatment with EBM (27%) or non-EBM (28%). Those who consulted
and received non-EBM under current practice each averaged 2.5 GP
consultations, 0.2 psychiatrist consultations and 0.6 psychologist consultations
within the past 12 months.",1,0,5.5,0
2012-01-01232,2012-01-01232-01,22084967,Would vaccination against nicotine be a cost-effective way to prevent smoking uptake in adolescents?,"UQ Centre for Clinical Research, The University of Queensland, Herston, Brisbane, Australia. c.gartner@uq.edu.au",2012,Gartner,Coral E,CE,200000,1,"AUS$177,547-269,730",1,95,177547,269730,92183.0,AUD,,,2,Nicotine vaccination program,Standard/Usual Care,0,0,3.5,1
2011-01-01256,2011-01-01256-02,21966520,Cost-effectiveness of total hip and knee replacements for the Australian population with osteoarthritis: discrete-event simulation model.,"School of Population Health, The University of Queensland, Herston, Queensland, Australia. h.higashi@ uqconnect.edu.au",2011,Higashi,Hideki,H,10000,1,10000-15000,1,95,10000,15000,5000.0,USD,,,3,Knee replacement surgery,None,1,0,5.0,0
2010-01-01480,2010-01-01480-01,20655020,Assessing cost-effectiveness in obesity: laparoscopic adjustable gastric banding for severely obese adolescents.,"Program Evaluation Unit, University of Melbourne School of Population Health, Carlton, Victoria, Australia.",2010,Ananthapavan,Jaithri,J,3100,1,2900-6120,1,95,2900,6120,3220.0,USD,,,2,Laparoscopic adjustable gastric banding plus standard care,Standard/Usual Care,1,0,6.5,0
2014-01-00767,2014-01-00767-01,24252448,Cost-effectiveness of interventions to prevent cardiovascular disease in Australia's indigenous population.,"Centre for Health Policy, Programs and Economics, School of Population Health,The University of Melbourne, Carlton, Victoria 3010, Australia. Electronicaddress: ksong@unimelb.edu.au.",2014,Ong,Katherine S,KS,51000,1,"49,000 - 71,000",1,95,49000,71000,22000.0,USD,,,3,HMG-CoA reductase inhibitors (statins) via mainstream general practitioner to prevent cardiovascular disease,None,1,0,5.0,0
2005-01-00291,2005-01-00291-03,16050922,Cost-effectiveness of cognitive-behavioural therapy and drug interventions for major depression.,"School of Population Health, University of Queensland, Herston Road, Herston, Queensland 4006, Australia. t.vos@sph.uq.edu.au",2005,Vos,Theo,T,2900,1,2300-5400,1,95,2300,5400,3100.0,USD,,,3,Cognitive behavioral therapy,None,1,0,4.5,0
2014-01-00767,2014-01-00767-05,24252448,Cost-effectiveness of interventions to prevent cardiovascular disease in Australia's indigenous population.,"Centre for Health Policy, Programs and Economics, School of Population Health,The University of Melbourne, Carlton, Victoria 3010, Australia. Electronicaddress: ksong@unimelb.edu.au.",2014,Ong,Katherine S,KS,180000,1,150000 - 360000,1,95,150000,360000,210000.0,USD,,,3,"Looma Healthy Lifestyle- community based intervention to reduce morbidity from diabetes and cardiovascular disease including heath education, exercise",None,1,0,5.0,0
2011-01-01242,2011-01-01242-02,22046255,Cost-effectiveness of pharmacotherapy to reduce obesity.,"School of Population Health, The University of Queensland, Brisbane, Australia. l.veerman@uq.edu.au",2011,Veerman,J Lennert,JL,210000,1,180000-350000,1,95,180000,350000,170000.0,USD,,,3,Orlistat treatment,None,1,0,5.5,0
2007-01-00117,2007-01-00117-01,17652241,Costs and benefits of smoking cessation aids: making a case for public reimbursement of nicotine replacement therapy in Australia.,"School of Population Health, The University of Queensland, Mayne Medical School Herston Road, Herston QLD 4006, Australia. m.bertram@uq.edu.au",2007,Bertram,Melanie Y,MY,16000,1,9000-28000,1,95,9000,28000,19000.0,USD,,,2,Nicotine replacement therapy for 6-12 weeks,Standard/Usual Care- mass-media campaigns and taxation on cigarettes,1,0,5.5,0
2005-01-00291,2005-01-00291-04,16050922,Cost-effectiveness of cognitive-behavioural therapy and drug interventions for major depression.,"School of Population Health, University of Queensland, Herston Road, Herston, Queensland 4006, Australia. t.vos@sph.uq.edu.au",2005,Vos,Theo,T,83,1,dominant-400,0,95,dominant,400,,USD,,,3,Bibliotherapy for acute episodes,None,1,0,4.5,0
2005-01-00291,2005-01-00291-05,16050922,Cost-effectiveness of cognitive-behavioural therapy and drug interventions for major depression.,"School of Population Health, University of Queensland, Herston Road, Herston, Queensland 4006, Australia. t.vos@sph.uq.edu.au",2005,Vos,Theo,T,3700,1,4100-4900,1,95,4100,4900,800.0,USD,,,3,Maintenance treatment with tricyclic antidepressants,None,1,0,4.5,0
2009-01-01619,2009-01-01619-05,21265906,Cost-effectiveness of interventions to prevent alcohol-related disease and injury in Australia.,"School of Population Health, The University of Queensland, Queensland, Australia. l.cobiac@uq.edu.au",2009,Cobiac,Linda,L,8700,1,3900-22000,1,95,3900,22000,18100.0,USD,,,3,Brief alcohol intervention + telemarketing + support,None,1,0,5.5,0
2015-01-01905,2015-01-01905-01,26111550,The population cost-effectiveness of a parenting intervention designed to prevent anxiety disorders in children.,"Deakin Health Economics, Deakin University, Melbourne, Vic., Australia.",2015,Mihalopoulos,Cathrine,C,8200,1,2700-22000,1,95,2700,22000,19300.0,USD,,,3,Screening of children in preschool for depression and anxiety,None,1,0,6.5,0
2009-01-01625,2009-01-01625-01,19747402,Cost-effectiveness of active transport for primary school children - Walking School Bus program.,"Deakin Health Economics, Public Health Research Evaluation and Policy Cluster, Deakin University, 221 Burwood Highway, Burwood, Victoria 3125, Australia . marj.moodie@deakin.edu.au.",2009,Moodie,Marjory,M,540000,1,0.23M-3.32M,1,95,230000,3320000,3090000.0,USD,,increase # of children per WSB from 7; increase # WSBs per schoool from an average of 1.6; increase the number of schools involved per local government from 4; increase % of non-victorian local governments involved from 50%; increase % of participants new to active transport from 50%; combine all previously mentioned scenarios;,3,Walking School Bus (WSB) program to increase the number of children of primary school age walking to school (accompanied by volunteer adults),None,1,0,5.0,0
2004-01-00366,2004-01-00366-04,15298582,Cost-effectiveness of psychological and pharmacological interventions for generalized anxiety disorder and panic disorder.,"Health Surveillance and Evaluation Section, Public Health, Department of Human Services, Melbourne, Australia.",2004,Heuzenroeder,Louise,L,19000,1,14000-38000,1,95,14000,38000,24000.0,USD,,,2,Cognitive behavioral therapy-public psychiatrists,"Standard/Usual Care- Current practice for the treatment of GAD and PD is determined
from the NSMHW by identifying service utilization patterns for those
with the disorder who consulted health services for a mental health
problem. All prevalent cases of GAD and PD in the year 2000 are
included. Consulting is defined as seeking care for a mental health
problem during the past 12 months from a general practitioner, psychiatrist,
psychologist, physician, surgeon, social worker, mental health
team worker or an admission to hospital [4]. It is assumed that those
consulting are receiving EBM if they have had three or more consultations
with a GP, psychiatrist or psychologist plus CBT and/or drug
treatment.
Of those with GAD, 55% consulted; these were further split into
treatment with EBM (27%) or non-EBM (28%). Those who consulted
and received non-EBM under current practice each averaged 2.5 GP
consultations, 0.2 psychiatrist consultations and 0.6 psychologist consultations
within the past 12 months.",1,0,5.5,0
2005-01-00291,2005-01-00291-06,16050922,Cost-effectiveness of cognitive-behavioural therapy and drug interventions for major depression.,"School of Population Health, University of Queensland, Herston Road, Herston, Queensland 4006, Australia. t.vos@sph.uq.edu.au",2005,Vos,Theo,T,15000,1,17000-20000,1,95,17000,20000,3000.0,USD,,,3,Maintenance treatment with selective serotonin re-uptake inhibitors,None,1,0,4.5,0
2005-01-00291,2005-01-00291-02,16050922,Cost-effectiveness of cognitive-behavioural therapy and drug interventions for major depression.,"School of Population Health, University of Queensland, Herston Road, Herston, Queensland 4006, Australia. t.vos@sph.uq.edu.au",2005,Vos,Theo,T,12000,1,11000-18000,1,95,11000,18000,7000.0,USD,,,3,Drug treatment with selective serotonin re-uptake inhibitors SSRIs for acute episodes and 6 months continuation,None,1,0,4.5,0
